"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Nov 16 09:22:03 GMT 2020","Mon Nov 16 09:22:03 GMT 2020","2","","","","","","Invalid login - data table",""
"skipped","Mon Nov 16 09:22:06 GMT 2020","Mon Nov 16 09:22:06 GMT 2020","0","","","","","","Validate left menu -- @1.6 ",""
"passed","Mon Nov 16 09:22:03 GMT 2020","Mon Nov 16 09:22:06 GMT 2020","2533","","","","","","Validate search",""
"skipped","Mon Nov 16 09:22:06 GMT 2020","Mon Nov 16 09:22:06 GMT 2020","1","","","","","","Validate left menu -- @1.4 ",""
"skipped","Mon Nov 16 09:22:06 GMT 2020","Mon Nov 16 09:22:06 GMT 2020","0","","","","","","Validate left menu -- @1.5 ",""
"skipped","Mon Nov 16 09:22:06 GMT 2020","Mon Nov 16 09:22:06 GMT 2020","0","","","","","","Validate left menu -- @1.2 ",""
"skipped","Mon Nov 16 09:22:06 GMT 2020","Mon Nov 16 09:22:06 GMT 2020","1","","","","","","Validate left menu -- @1.1 ",""
"skipped","Mon Nov 16 09:22:06 GMT 2020","Mon Nov 16 09:22:06 GMT 2020","2","","","","","","Validate left menu -- @1.3 ",""
