"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 16 11:31:54 GMT 2020","Mon Nov 16 11:31:56 GMT 2020","2012","","","","","","Validate left menu -- @1.2 ",""
"broken","Mon Nov 16 11:31:58 GMT 2020","Mon Nov 16 11:32:09 GMT 2020","10952","","","","","","Validate left menu -- @1.6 ",""
"passed","Mon Nov 16 11:31:56 GMT 2020","Mon Nov 16 11:31:57 GMT 2020","1308","","","","","","Validate left menu -- @1.3 ",""
"passed","Mon Nov 16 11:31:57 GMT 2020","Mon Nov 16 11:31:58 GMT 2020","1042","","","","","","Validate left menu -- @1.5 ",""
"passed","Mon Nov 16 11:31:51 GMT 2020","Mon Nov 16 11:31:56 GMT 2020","5251","","","","","","Invalid login - data table",""
"passed","Mon Nov 16 11:31:53 GMT 2020","Mon Nov 16 11:31:54 GMT 2020","832","","","","","","Validate left menu -- @1.1 ",""
"passed","Mon Nov 16 11:31:57 GMT 2020","Mon Nov 16 11:31:57 GMT 2020","531","","","","","","Validate left menu -- @1.4 ",""
"passed","Mon Nov 16 11:31:50 GMT 2020","Mon Nov 16 11:31:53 GMT 2020","2272","","","","","","Validate search",""
