"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 16 11:36:11 GMT 2020","Mon Nov 16 11:36:12 GMT 2020","1250","","","","","","Validate left menu -- @1.3 ",""
"passed","Mon Nov 16 11:36:10 GMT 2020","Mon Nov 16 11:36:11 GMT 2020","1660","","","","","","Validate left menu -- @1.2 ",""
"passed","Mon Nov 16 11:36:09 GMT 2020","Mon Nov 16 11:36:10 GMT 2020","737","","","","","","Validate left menu -- @1.1 ",""
"passed","Mon Nov 16 11:36:13 GMT 2020","Mon Nov 16 11:36:13 GMT 2020","552","","","","","","Validate left menu -- @1.5 ",""
"passed","Mon Nov 16 11:36:12 GMT 2020","Mon Nov 16 11:36:13 GMT 2020","434","","","","","","Validate left menu -- @1.4 ",""
"broken","Mon Nov 16 11:36:13 GMT 2020","Mon Nov 16 11:36:24 GMT 2020","10784","","","","","","Validate left menu -- @1.6 ",""
"passed","Mon Nov 16 11:36:07 GMT 2020","Mon Nov 16 11:36:12 GMT 2020","4333","","","","","","Invalid login - data table",""
"passed","Mon Nov 16 11:36:07 GMT 2020","Mon Nov 16 11:36:09 GMT 2020","1442","","","","","","Validate search",""
