"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Nov 16 08:53:39 GMT 2020","Mon Nov 16 08:53:39 GMT 2020","1","","","","","","Invalid login - data table",""
"passed","Mon Nov 16 08:53:39 GMT 2020","Mon Nov 16 08:53:41 GMT 2020","2368","","","","","","Validate search",""
"passed","Mon Nov 16 08:53:45 GMT 2020","Mon Nov 16 08:53:45 GMT 2020","431","","","","","","Validate left menu -- @1.4 ",""
"passed","Mon Nov 16 08:53:41 GMT 2020","Mon Nov 16 08:53:42 GMT 2020","655","","","","","","Validate left menu -- @1.1 ",""
"passed","Mon Nov 16 08:53:44 GMT 2020","Mon Nov 16 08:53:45 GMT 2020","1113","","","","","","Validate left menu -- @1.3 ",""
"broken","Mon Nov 16 08:53:45 GMT 2020","Mon Nov 16 08:53:56 GMT 2020","10917","","","","","","Validate left menu -- @1.5 ",""
"passed","Mon Nov 16 08:53:42 GMT 2020","Mon Nov 16 08:53:44 GMT 2020","1687","","","","","","Validate left menu -- @1.2 ",""
