"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 16 09:15:22 GMT 2020","Mon Nov 16 09:15:22 GMT 2020","576","","","","","","Validate left menu -- @1.4 ",""
"passed","Mon Nov 16 09:15:17 GMT 2020","Mon Nov 16 09:15:18 GMT 2020","784","","","","","","Validate left menu -- @1.1 ",""
"skipped","Mon Nov 16 09:15:15 GMT 2020","Mon Nov 16 09:15:15 GMT 2020","1","","","","","","Invalid login - data table",""
"passed","Mon Nov 16 09:15:18 GMT 2020","Mon Nov 16 09:15:20 GMT 2020","2541","","","","","","Validate left menu -- @1.2 ",""
"broken","Mon Nov 16 09:15:24 GMT 2020","Mon Nov 16 09:15:35 GMT 2020","11169","","","","","","Validate left menu -- @1.6 ",""
"passed","Mon Nov 16 09:15:15 GMT 2020","Mon Nov 16 09:15:17 GMT 2020","2003","","","","","","Validate search",""
"passed","Mon Nov 16 09:15:22 GMT 2020","Mon Nov 16 09:15:24 GMT 2020","1737","","","","","","Validate left menu -- @1.5 ",""
"passed","Mon Nov 16 09:15:20 GMT 2020","Mon Nov 16 09:15:22 GMT 2020","1449","","","","","","Validate left menu -- @1.3 ",""
