"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 16 11:53:40 GMT 2020","Mon Nov 16 11:53:45 GMT 2020","4478","","","","","","Invalid login - data table",""
"passed","Mon Nov 16 11:53:43 GMT 2020","Mon Nov 16 11:53:45 GMT 2020","1884","","","","","","Validate left menu -- @1.2 ",""
"passed","Mon Nov 16 11:53:40 GMT 2020","Mon Nov 16 11:53:42 GMT 2020","1850","","","","","","Validate search",""
"passed","Mon Nov 16 11:53:42 GMT 2020","Mon Nov 16 11:53:43 GMT 2020","768","","","","","","Validate left menu -- @1.1 ",""
"passed","Mon Nov 16 11:53:46 GMT 2020","Mon Nov 16 11:53:47 GMT 2020","580","","","","","","Validate left menu -- @1.5 ",""
"passed","Mon Nov 16 11:53:46 GMT 2020","Mon Nov 16 11:53:46 GMT 2020","445","","","","","","Validate left menu -- @1.4 ",""
"passed","Mon Nov 16 11:53:45 GMT 2020","Mon Nov 16 11:53:46 GMT 2020","1147","","","","","","Validate left menu -- @1.3 ",""
