"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 16 11:39:21 GMT 2020","Mon Nov 16 11:39:23 GMT 2020","1319","","","","","","Validate left menu -- @1.5 ",""
"passed","Mon Nov 16 11:39:20 GMT 2020","Mon Nov 16 11:39:21 GMT 2020","1231","","","","","","Validate left menu -- @1.3 ",""
"passed","Mon Nov 16 11:39:17 GMT 2020","Mon Nov 16 11:39:18 GMT 2020","789","","","","","","Validate left menu -- @1.1 ",""
"passed","Mon Nov 16 11:39:18 GMT 2020","Mon Nov 16 11:39:20 GMT 2020","2006","","","","","","Validate left menu -- @1.2 ",""
"passed","Mon Nov 16 11:39:15 GMT 2020","Mon Nov 16 11:39:17 GMT 2020","1732","","","","","","Validate search",""
"passed","Mon Nov 16 11:39:21 GMT 2020","Mon Nov 16 11:39:21 GMT 2020","493","","","","","","Validate left menu -- @1.4 ",""
"broken","Mon Nov 16 11:39:23 GMT 2020","Mon Nov 16 11:39:34 GMT 2020","10853","","","","","","Validate left menu -- @1.6 ",""
"passed","Mon Nov 16 11:39:15 GMT 2020","Mon Nov 16 11:39:20 GMT 2020","4447","","","","","","Invalid login - data table",""
