"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 16 13:59:19 GMT 2020","Mon Nov 16 13:59:19 GMT 2020","561","","","","","","Validate left menu -- @1.5 ",""
"passed","Mon Nov 16 13:59:13 GMT 2020","Mon Nov 16 13:59:14 GMT 2020","1879","","","","","","Validate search",""
"passed","Mon Nov 16 13:59:14 GMT 2020","Mon Nov 16 13:59:15 GMT 2020","782","","","","","","Validate left menu -- @1.1 ",""
"passed","Mon Nov 16 13:59:13 GMT 2020","Mon Nov 16 13:59:17 GMT 2020","4651","","","","","","Invalid login - data table",""
"broken","Mon Nov 16 13:59:19 GMT 2020","Mon Nov 16 13:59:30 GMT 2020","10867","","","","","","Validate left menu -- @1.6 ",""
"passed","Mon Nov 16 13:59:17 GMT 2020","Mon Nov 16 13:59:18 GMT 2020","1243","","","","","","Validate left menu -- @1.3 ",""
"passed","Mon Nov 16 13:59:18 GMT 2020","Mon Nov 16 13:59:19 GMT 2020","499","","","","","","Validate left menu -- @1.4 ",""
"passed","Mon Nov 16 13:59:15 GMT 2020","Mon Nov 16 13:59:17 GMT 2020","1882","","","","","","Validate left menu -- @1.2 ",""
