"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 16 08:58:03 GMT 2020","Mon Nov 16 08:58:05 GMT 2020","2055","","","","","","Validate search",""
"broken","Mon Nov 16 08:58:09 GMT 2020","Mon Nov 16 08:58:20 GMT 2020","10748","","","","","","Validate left menu -- @1.5 ",""
"passed","Mon Nov 16 08:58:05 GMT 2020","Mon Nov 16 08:58:06 GMT 2020","622","","","","","","Validate left menu -- @1.1 ",""
"skipped","Mon Nov 16 08:58:03 GMT 2020","Mon Nov 16 08:58:03 GMT 2020","1","","","","","","Invalid login - data table",""
"passed","Mon Nov 16 08:58:09 GMT 2020","Mon Nov 16 08:58:09 GMT 2020","500","","","","","","Validate left menu -- @1.4 ",""
"passed","Mon Nov 16 08:58:08 GMT 2020","Mon Nov 16 08:58:09 GMT 2020","1080","","","","","","Validate left menu -- @1.3 ",""
"passed","Mon Nov 16 08:58:06 GMT 2020","Mon Nov 16 08:58:08 GMT 2020","1956","","","","","","Validate left menu -- @1.2 ",""
